M1,M2,t_merger,Merger,Type,GW-kick-random,GW-kick-aligned
17283522727.27273,14714346590.909092,5335186075.733257,Yes,iso,2096.1450299583785,240.2806702669255
1098636363.6363635,1094115056.8181818,1843990544.870242,Yes,iso,1449.6920707274971,75.81602296987772
22503125000.0,1697002840.9090912,9201701308.639551,Yes,iso,146.81254464214325,45.41609412858246
357286931818.18176,2440000000.0,13579530712.403704,Yes,iso,0.7425983158584997,0.4693052235122897
11072400568.181818,5406818181.818182,3617862765.2270026,Yes,iso,166.33727675650627,417.38056957143476
38656534090.909096,7736278409.09091,7287375174.979834,Yes,iso,254.47980836348168,104.12022846030808
10878522727.272726,2265767045.4545455,2438218678.3800426,Yes,iso,170.41571618938573,88.42314685982518
16972301136.363634,7747315340.909091,7327739306.607002,Yes,iso,1088.0460189246269,235.60289519618942
3138693181.818182,1519247159.090909,2242906372.2371716,Yes,iso,928.2849868409805,219.82034377012897
11179715909.09091,1605596590.9090908,11607793584.57999,Yes,iso,125.78807759254627,66.66601043306495
46709943181.81818,9510553977.272728,8996969392.681,Yes,iso,695.7876689751247,149.62935429913136
7294389204.545455,4112173295.4545455,1914157692.4845307,Yes,iso,545.9632615340224,111.77139129148689
20120738636.363636,2125127840.9090912,3265584630.975839,Yes,iso,91.83598653641656,67.27735355976384
10243920454.545454,3914801136.363637,8539938117.288952,Yes,iso,719.6676313358704,130.94449611878852
18477556818.18182,1508693181.818182,7610231407.508163,Yes,iso,433.59863728741595,78.35517410627808
5206178977.272728,1372431818.1818182,1900692341.2361388,Yes,iso,981.5649333344883,218.04547274635115
4341406250.000001,1412917613.6363635,1894831646.3605387,Yes,iso,1568.3479425686166,170.07244138394117
292475852272.72723,4473735795.454545,6455477183.769153,Yes,iso,2.491884212460958,2.2113282305883777
8980838068.18182,5954857954.545455,5440388854.392749,Yes,iso,1460.6752192001961,65.31927303102962
6697642045.454546,1737414772.7272727,7429426879.811746,Yes,iso,194.16836946978353,226.83347058987297
5106562500.0,5078536931.818182,2932719221.101048,Yes,iso,188.237217132362,225.35302135234363
33004971590.909096,16564914772.727274,3728155375.66436,Yes,iso,461.1947385380515,332.8358684617693
41530397727.27273,28343323863.636368,2563527683.0975723,Yes,iso,201.4010221947962,70.17124751011634
4279985795.4545455,3311818181.818182,4276007304.731985,Yes,iso,1086.8423056382353,216.99789888896282
