Unnamed: 0,Mass 1,Mass 2,Mass 3,t_merger,Flag,GW-kick-random,GW-kick-aligned
138,680254964.1905458,113176496.1933014,13732075.100637129,7550925570.41546,Tr-ej,636.2839486625197,159.22556266192134
146,60020864.971317045,33880143.76087201,88204930.09524561,5126532307.024553,Tr,1223.2525902888856,63.512360692874644
150,71126513.39173533,40646601.489941694,372410781.0571191,7782176635.771799,Tr,447.00942146281926,80.0632443545946
151,40976415.06348799,11066346.361342013,204170939.31330773,9497768628.10286,Tr,578.5040832399197,99.03121272041416
161,31596907.8524639,10200296.573345158,47568694.8469455,9464274450.097054,Tr,468.6516062977351,263.40271364704773
164,31596907.8524639,10200296.573345158,47568694.8469455,3473400297.5731716,Tr,182.80123188529925,140.5780776119464
170,5740772.308441472,18124166.48219566,3295527.620180735,10401486695.74594,Tr-ej,1342.550017307438,224.08330693654585
171,7888590.5378805185,12197771.93536375,6336698.911204918,5433662556.973107,Tr-ej,763.924312695517,236.37694978054625
172,7888590.5378805185,12197771.93536375,6336698.911204918,8866067835.773878,Tr-ej,817.3886562215117,309.96021808193666
175,45950891.45698072,57079082.538214855,31224539.857591152,3897705719.788806,Tr-ej,826.305287548349,411.1212714380456
178,16124131.121448178,98160924.17379344,13840650.831584653,4724876962.589499,Tr-ej,321.4487424139021,86.86537919040764
181,13609710.848273298,76247541.36331876,17216665.05318165,4719289670.895033,Tr,507.7408358900144,166.58656234002885
182,5956213.552819271,3904778.622086309,8247893.061970987,3394303921.7701364,Tr,1220.7560204153453,155.419979510739
183,5956213.552819271,3904778.622086309,8247893.061970987,8346101408.284775,Tr,363.46285688464263,294.5020036439462
185,5956213.552819271,3904778.622086309,8247893.061970987,10187913297.480389,Tr,1120.0107292861364,191.57253912099324
186,151773484.40898797,37871430.79950708,99213026.69876042,5595569660.857211,Tr,162.4993192513499,421.8634441709736
189,17093248.76434597,5120241.755060057,21571580.842922308,6665559020.367677,Tr,794.6621194413678,228.14815208729726
