M1,M2,qin,t_merger,z_merger,t_form,merger_flag,bhid1,bhid2,f-gas,Vescape,Phi_DM,Phi_star,M_halo,M_star,rhalf,sigma,rbulge
298534978.9800736,46032077.02771647,0.15419324457382594,9568623761.266222,0.3832574927703759,8646682521.138857,Yes,9223372036810299617,9223372049068828000,0.2614034606740543,2578.305200123519,12.745821562496438,38.83441008887907,6251862513070.758,259664085778.32312,79.03564348184666,2.942999311768985,5.888808742767052
2291053005.4410205,2942251.785167522,0.0012842355799625629,10482197449.156868,0.2815541129755839,8652871266.963457,Yes,9223372039979312889,9223372067750649761,0.002139730475016403,3271.0316310153353,37.782205523408166,45.238061669451966,35695858010493.055,769284584305.5032,152.23409448152347,3.8906409440718486,13.19689011357765
5449178.222712041,1050719.4127260486,0.19282162736881608,36735984625.96599,0,8653667155.683218,No,9223372043923366390,9223372044743823368,0.4850328485340423,1009.273050295774,2.2552393605434347,5.64848876509153,450741536491.9739,20310609516.772358,32.2044841575706,0.3511126945789541,3.8608430623778203
496957624.29815066,53112788.08216772,0.1068758893822758,9317709398.271158,0.4136957406582262,8657256655.493303,Yes,9223372039682983324,9223372059136968767,0.06492520978531655,2263.9190074946623,13.38054237221679,26.387701255413972,6633050434968.688,158606126073.70557,79.87686122330936,2.330737588103068,4.541844919209845
26659985.455844752,1402491.432684679,0.05260660906989379,229837127523.8446,0,8658555971.116646,No,9223372041230431591,9223372043286716768,0.43202230412258485,1435.405190757463,5.002875789674674,10.984002330138294,1525044769726.0166,63911873823.433945,49.11840794073638,0.7214027617923363,5.913021713417519
9927295.20956475,1597253.2326668606,0.16089510777597701,8707997245.453718,0.4929499898268282,8659254341.648245,Yes,9223372040118728515,9223372043273712524,0.4520555088110164,947.6536082818717,2.9292913539313035,4.038800714722875,650810869410.634,19967663118.594913,35.79922598616141,0.2708175968264343,4.921030816097605
589403199.2446704,30555562.263432767,0.05184152767170285,9439881974.123936,0.39872727691051624,8659660367.230835,Yes,9223372040770986165,9223372041777642096,0.0043234449453058085,1687.199534142693,4.7464422996203055,17.341107049158133,211649117356.3356,96737772609.31358,7.185047853505743,1.717006097558039,3.760364722318738
5946232.409261101,3255482.6867159363,0.547486620544062,17282554274.972607,0,8664061498.648125,No,9223372040077750164,9223372041876032495,0.18492516993133384,629.6335470648364,0.7915980123163032,2.284430507821599,31764591483.145275,7144029844.890942,6.46576607642545,0.17165061116903274,2.7778169893494526
18471080.568913754,7996277.396700504,0.43290793772823377,439815819544.4333,0,8664061498.648125,No,9223372039142225877,9223372041633691371,0.3582523439401496,963.313123207348,3.0356793610555726,4.164604075800959,839406878711.2537,21211957050.99539,44.555162797402666,0.3114393837195477,4.545827289234149
4239977.435716298,1560232.9697084457,0.36798143229855684,26925434991.21356,0,8664857237.493038,No,9223372039253574145,9223372039833609659,0.5184873631759259,764.8719402982031,2.475881912813073,2.063451649342656,369188217472.6661,11641944504.59697,24.02698703463739,0.135679705483483,5.726857228216096
2356331927.1210485,1212412901.8715365,0.5145340042787838,9116149140.064383,0.43903034908344696,8665458093.58859,Yes,9223372042931676572,9223372059379852321,0.002563903731110084,4582.4069652834005,29.934358298172352,132.99597729407142,24776680811033.16,879632126201.2828,133.36890404388322,12.076348013669799,4.861510030399617
3248652.327497295,1903951.9819479673,0.586074405633532,8667019303.718761,0.4985697788329576,8665652964.35604,Yes,9223372039702100557,9223372044519640774,0.4598132820402362,682.9233460094875,1.6743472599383915,1.9444025495286197,489802225069.5662,14880806715.650993,47.13642348011657,0.13735613595642338,7.230763123227247
14117046.074477859,5114490.620998624,0.36229184165128475,10060515058.557774,0.3268338788754793,8666448679.061426,Yes,9223372038098063761,9223372039557272082,0.40789521818701674,999.5227259292033,3.201785984964954,4.549968072402333,652057133080.565,26339194314.04634,32.81517766334699,0.3150130029922212,5.580585021583395
13451959.37101782,5337563.620927177,0.3967870756751564,30552739992.072197,0,8668851986.651278,No,9223372038909377540,9223372043331763513,0.4553181645803164,1071.534411110218,4.316734925931157,4.592222512559449,598398013865.914,26015995940.724678,22.336553930640285,0.3176164566753862,5.46692584901678
2795548.1654424034,2516554.2619732907,0.9002006451121327,110625194499.19576,0,8669647650.70485,No,9223372040559277248,9223372043018439078,0.6004514349456609,730.8453032808611,2.1154223401697494,2.0290148280347857,458175387955.7999,9686037559.400906,34.899248787495466,0.13512104296196503,4.784415444521618
7501864.4717204,1574234.4960901095,0.2098457659458477,432934355892.2239,0,8669647650.70485,No,9223372039276762747,9223372040619730612,0.6119428599774644,707.0936299940819,2.1949385792372618,1.6844965029042755,459315210358.5784,8126846937.970682,33.71862563232321,0.12391522982058065,4.3772677980450325
99219984.86095823,10572444.648278484,0.10655559626514922,69613586044.52106,0,8669858743.068222,No,9223372039891218671,9223372046698159828,0.17515060043891773,1806.950799857348,4.33972642322647,20.99447939370803,372231888838.7897,97667405551.13013,13.820782506725282,1.545889029772645,4.216742290782524
7444949545.008728,1841825.5337534656,0.000247392614633402,8725606489.638601,0.49054704416943334,8671157752.597185,Yes,9223372046001347542,9223372066317713682,0.07535525568851006,4569.95853609036,98.33112438849233,63.71519027264734,299496626420454.56,5013918009671.298,490.7748947154148,5.483305498748672,61.02959789416428
247398166.95876643,7658650.326466796,0.030956778785443687,10829314625.523134,0.24620437357480163,8676743077.788845,Yes,9223372041364498503,9223372044173806210,0.15420463946597485,2937.0132022683397,12.182350325657072,54.74851450608124,4462862527341.878,326353338631.7167,59.02878360567381,3.878527048216884,5.615998189392708
49217069.27126955,2823338.213240492,0.05736502101901088,9305543166.449541,0.41520207068206466,8681256276.755384,Yes,9223372040683063142,9223372045442440431,0.2783649728346932,1149.8734503798214,4.411755665488719,5.847473533209955,1036050473763.1842,19944355907.765305,37.839977594196604,0.49246233728970407,2.703041523292973
8223596.295602807,1295433.7171228125,0.15752642403123396,21924233489.48413,0,8684048366.223066,No,8524787731121235559,9223372042326329234,0.44289045923697823,900.0021314897647,2.532109693337081,3.752838688323565,230725402044.21704,12444378808.140755,14.682307132232701,0.26224759555378313,3.1671412393232012
10127761282.516012,44295234.54116345,0.004373645202087475,11672190059.773472,0.16672813457831706,8684048366.223066,Yes,9223372038361963349,9223372066351734582,0.005855376006216441,4078.45936358145,63.326548414887526,65.7379857380659,75592586194556.64,1728630391034.213,192.3422956507299,6.40227025902865,18.02079161311459
41175989.83021393,2284464.0518496493,0.05548048902453745,34088789598.838566,0,8685346944.851562,No,9223372039314804109,9223372040089467247,0.24168613777929254,1665.2220050246806,2.2945827015223084,19.22128779671283,142182870781.23965,58401416648.51796,9.984468991169717,1.343478538242642,2.9013383097810586
6718815.6185113955,3388369.3843625975,0.5043105179173404,19505193468.704773,0,8691254910.61895,No,9223372041377881790,9223372043884449352,0.6324084092011226,749.8342858103845,2.5317823685532983,1.8308159544887956,460047955010.933,9980622509.663755,29.279128279599885,0.13318474223013788,5.001599109689536
98239594.00762145,4313975.360640082,0.04391279711829227,11806443916.440678,0.15482062260328316,8693267293.494234,Yes,9223372043239003442,9223372047845402029,0.07955007662587217,1193.7909553590328,3.4964590747193296,7.5614039903273556,1209146197969.9407,29065202142.68808,55.72265158577657,0.6701908713997696,2.894546717053504
37055195.77271396,11361983.052761747,0.30662320939964594,13174501521.774466,0.04345557185211369,8698460201.121494,Yes,9223372042544144909,9223372053482744491,0.17022870839624382,2151.317954550488,5.250608409391709,30.66008927123204,1587171091788.0674,103921808979.72801,48.70746464811751,1.9992733505970657,3.4692871260763787
5432762.640057677,2090274.5252074078,0.38475351560457943,40514368379.30784,0,8699271570.502304,No,9223372041623636553,9223372042221247837,0.6601473407728202,775.4532832567292,2.1267342632129314,2.539063573545434,493309331465.1739,10608493943.106045,37.37554307284878,0.17526310953262203,4.039884452198068
43788992.74044711,1314149.7534017505,0.03001096100088856,12162724602.5979,0.12412803242572693,8699677252.963062,Yes,9223372041185307905,9223372044542769729,0.272383076489788,1063.5935795419043,3.3543389451313494,5.4230643479922485,926966175690.9707,21086958321.658047,44.52852934365901,0.44206692362430716,3.1836963682415536
20181936.449707706,2149092.296275208,0.10648593120043905,8854876279.023375,0.47312407470357104,8701673188.824701,Yes,9223372044457767402,9223372048491578745,0.383957021222464,1151.3969498736287,5.545373231753219,4.7410594557327235,1211131443851.6274,22773145823.03544,35.19183452615604,0.3423970794666918,4.439138540650765
242124164.01946634,10176170.210949168,0.042028726261832426,10164066876.974606,0.3154637904408596,8701867912.316322,Yes,9223372038129657578,9223372040890902441,0.05688233509135595,2214.0530909761105,5.340682991836529,32.69495457978264,947770964015.6139,203575386919.75854,28.594862217516535,2.7550058223515816,4.931834241129782
178613183.55091608,2310606.8612498953,0.01293637353813374,19250432741.322994,0,8711700980.673985,No,9223372039476942014,9223372041229843452,0.12541510172222445,1936.4540247770913,7.396729777251067,21.698984287261833,2157737653998.8276,86761218580.33267,47.0045929720967,1.7584566965040458,3.293060342753695
42136358.2168183,26164109.89677001,0.620939041816074,10513386774.414225,0.2783094814943145,8713307283.065609,Yes,3072204350594054385,9223372047115292241,0.21941231847527623,1644.5185377519178,6.273778177180538,14.710410669159229,2255473889063.896,88528496297.923,57.92820261966949,1.0268322057037764,5.754257994238273
120907014.3950397,11641488.168147432,0.09628463845870162,10502902195.078821,0.27939864658939956,8713501984.616392,Yes,9223372037597170901,9223372038383080277,0.1182814965299344,2000.8975160560144,6.538278330079137,24.52621892053636,1761081023644.4446,87426636706.69902,43.400760753336435,1.8928825133769698,3.08266148188202
14924263.8910759,3138315.7555038603,0.21028278368760586,15085632749.375593,0,8716114193.006708,No,9223372037961613096,9223372038121513607,0.3202825358528856,1040.7358716812714,3.1443728878213877,5.259813720857171,314689906425.1391,19883609969.507565,16.126130847314318,0.37587719931989855,3.530652517886281
57645391.73912838,25250744.605828222,0.4380357881875333,8907262277.61909,0.466170153750238,8716909199.003046,Yes,9223372038868202451,9223372040399920240,0.2728822376166734,1261.7846130909663,5.144068604312752,7.20929127007929,1636684310532.556,61942819844.592705,51.26719734706878,0.5457492983653274,7.575364067843771
813910432.6058284,1508032.5528940489,0.001852823716813542,40059800164.913475,0,8718109807.82337,No,9223372042116927621,9223372044464651962,0.0001285223010676428,3506.3355485523407,14.682422576041494,80.71169362155604,7509563938113.967,282617617737.1632,82.41350957453764,6.900968571239879,2.7333478577547643
9839210.556273207,1290249.1762689126,0.1311334043406852,14264812737.647537,0,8720121604.821608,No,9223372037559021003,9223372040503940390,0.4587549430982675,1016.7876566136141,4.198549517953184,3.823312177120516,650153287503.8473,18266817046.83737,24.95157085030403,0.2603007901075484,4.6837436400148365
406091126.16059756,2398350.7065970553,0.0059059421693656395,9893604251.796661,0.3455222144616939,8722133358.692162,Yes,9223372039281892318,9223372052973599077,0.038501717898822195,2005.545104407072,9.70472322809579,21.50425185612741,3029397580222.3115,112598890608.00726,50.298441548985785,1.915465791128828,3.9234257226913747
30965383.816551235,9291830.396603849,0.30007153961506183,22959302228.14323,0,8722230700.516592,No,9223372038202056572,9223372038206113921,0.3547326984223318,1215.3610173109994,3.7524369059455553,7.708635169325962,1062717151283.075,35143856975.16528,45.633701794817995,0.5738463708470233,4.087516389850536
2498548.242245147,1315088.3952819007,0.5263410059676045,8751765080.063646,0.4869906857012814,8722522725.374485,Yes,9223372040078263507,9223372044290893158,0.6369071301757023,578.5273569659176,1.7710314802844684,0.825911654079376,240845978260.04028,5215312693.590849,21.9126310680824,0.05721888461524896,6.083404411828895
1676888689.0039494,159111868.96679977,0.09488517038141046,10331534454.81604,0.2974256131913234,8723528581.684755,Yes,9223372058391232551,9223372064637042664,0.007016616022663101,3596.1455054359794,39.56721068090474,60.77626741872093,43242403330329.01,631746812300.2485,176.09855680193743,5.206876295831303,8.097883471345979
155638468.00031406,2238469.179689194,0.01438249302020036,83531262638.4601,0,8726951654.586239,No,9223372040588730759,9223372041906905122,0.07116097611475242,2388.9769924428233,8.525511404525759,35.75764548469127,2522272491928.148,158764841881.6653,47.670858457294344,2.5882147102632858,4.094112362351138
113915339.41605805,19956009.183244955,0.17518280931735397,18274485733.53382,0,8726951654.586239,No,9223372037701410952,9223372042152451089,0.07304667197413814,1490.387148398441,5.325810680063282,11.909250650261919,2146852859997.0427,60996264219.28406,64.9528130509375,0.9737730182681678,4.18072136567101
687331521.9964236,6496253.830499414,0.009451412633644957,9912562588.013462,0.3433765785875385,8729352594.526472,Yes,9223372042069672063,9223372048753713324,0.02175294187627193,2915.848823043689,11.32677445821624,54.64294637154792,6811976425815.374,272708779031.58017,96.90547005787548,4.578749365598034,3.975190731263679
317388758.4698655,5719921.733860925,0.01802181577393203,10035944424.161163,0.3295566489014733,8730553039.98265,Yes,9223372038542140323,9223372056515231024,0.12680871459845985,2788.0089091902496,19.151188233361406,41.16070391191233,13688815841557.121,325984060764.31274,115.17323485561975,2.979538250803833,7.302189915408128
6388260.313123601,5317910.3628011905,0.8324504798084766,170881454185.4282,0,8730958592.153198,No,9223372039580108749,9223372041733342585,0.5208266978109288,677.6878385791633,0.8463787695787095,2.7170987501654187,35284246894.827286,9345976127.819582,6.71734262104467,0.20341531207422128,3.066526695254194
238338355.77063113,2888602.9345895043,0.012119756911344136,8834942512.221144,0.4757861414795177,8734170498.136723,Yes,9223372043236793594,9223372047189222967,0.09876505728782599,1624.1577574129053,8.714906355405521,11.752888748096852,2948069578904.4893,75638741859.8272,54.50751882864523,1.023792042187575,4.931037105117004
3611456.5846221675,1222124.508253301,0.3384021044188076,92713335619.15744,0,8734576033.259748,No,9223372040436126389,9223372040897392271,0.5411019927328168,951.8959698340235,2.4940705785111663,4.536549261621302,546811904020.036,17815161157.73808,35.327314962074695,0.2766689150660952,4.297690258650329
169029380.14829457,3168292.6542783957,0.01874403521742053,18053581232.869175,0,8736587458.743143,No,9223372037776329875,9223372041778606129,0.030591278241585747,2452.2316556356595,7.324656549274408,39.334579948565306,2152833892323.5425,129834941842.33926,47.359233562907434,2.9720081274715637,2.9157300894582296
67798344.40886657,3699825.244534026,0.054571026428341045,53403099516.207085,0,8739799150.702158,No,9223372040932264533,9223372049427995932,0.09661082105692036,2318.6022931076254,7.705742530094033,34.006847910396,2648886207276.8496,133828019553.96478,55.38985356665294,2.257008449688077,3.957487846500842
42312016.31148481,6037043.526107691,0.142679173728458,12816258140.056616,0.07099454770430413,8740204658.482851,Yes,9223372037719901913,9223372042752736982,0.40555953586104215,1422.958907266199,4.482219856971601,11.228618353365096,756362989433.7449,45766678046.09646,27.190583244459155,0.8198985033381363,3.7255896679821827
8607686.848920492,3573513.30014772,0.4151537297846612,15962673089.684942,0,8745038155.142397,No,9223372044486818431,9223372047187575346,0.5783596969612154,867.7972112242112,3.2862095578401638,2.556995661821726,582647265612.4019,11938378553.498877,28.56879134720172,0.18564474932068772,4.292085839819559
1782141542.4936967,122865382.04544054,0.06894254980079681,9915933999.101994,0.3429956377313799,8747033103.757164,Yes,9223372056099382650,9223372059312204165,0.0678021003823607,3019.301883058004,30.208977986096784,40.52494006391264,26257923903573.434,682602904059.6703,140.05730381920512,3.4485155649486763,13.211181671535421
10174196364.93796,1516254.5445522466,0.0001490294161981699,76395431173.54176,0,8749563209.461555,No,9223372046323807992,9223372066351734582,0.005855376006216441,4066.152320832097,62.94494027414369,65.34184618614535,75592586194556.64,1728630391034.213,193.50838438653616,6.363689939853806,18.130043933511782
2399032.3224858176,1148661.9358088179,0.47880219246842115,8750401285.23671,0.4871757120194153,8749855139.42899,Yes,9223372039499184693,9223372039883694728,0.029979748233910596,2126.292336827607,14.472410028431502,20.607670946829966,8765410984104.33,212096899578.51715,97.59168900594277,2.142530156224033,6.607133779399067
5634804.949751704,4151551.9744803766,0.7367694199713716,107017333226.9475,0,8749855139.42899,No,9223372041758075049,9223372048802100308,0.43270846854922423,1086.1717707588255,3.2457236731362977,5.908292219080988,693798281929.7097,28627050871.19883,34.443167679037025,0.3701615106496803,5.1616799730014655
