M1,M2,t_merger,Merger,Redshift,Type,BH1-ID,BH2-ID
3954815.3409090918,3077585.2272727275,64730702494.759476,No,0,iso,9223372036517919266,9223372036609614868
5892258.522727273,3230369.3181818184,1348715920.5779662,Yes,4.518352984235426,iso,9223372036635439627,9223372036720655070
1907656.2500000002,1383896.3068181819,1686323031.7116818,Yes,3.7514200795044856,trip,7578907306025071715,9223372037019826063
32705255.681818184,6845838.068181818,19304298882.611206,No,0,iso,9223372036372029166,9223372036551564909
3079786.931818182,2274062.5,24030437802.44781,No,0,iso,9223372036405826850,9223372036609628743
29580113.636363637,1143551.1363636365,5697546272.796314,Yes,1.0569343631422674,iso,9223372036448996524,9223372036586668669
2050724.4318181816,1200535.5113636362,1325362394.0855722,Yes,4.583199859548628,iso,9223372036690119712,9223372037059596005
1550653.4090909094,1330745.7386363635,202504448880.80795,No,0,iso,9223372036604300802,9223372036858472384
4151534.090909091,2337997.1590909087,18255153133.064022,No,0,iso,9223372036393532456,9223372036656729814
34500000.0,2171903.4090909096,25569811707.145298,No,0,iso,9223372036382532997,9223372036642232974
4308366.4772727275,1402903.4090909092,1342415519.400763,Yes,4.535663260291227,iso,9223372036332239677,9223372037068223169
8680596.59090909,2950767.0454545454,54884681402.775826,No,0,iso,9223372036496566526,9223372036908395197
15588636.363636367,2439417.6136363638,4709480240.285296,Yes,1.3565464091401287,iso,9223372036480012739,9223372036927653932
32875568.181818184,12541534.09090909,2055998677.743484,Yes,3.1588122350670345,trip,9223372037090809465,9223372037238493626
11417926.136363637,8705340.90909091,1439256577.7958496,Yes,4.2835741174341155,iso,9223372036380700417,9223372036477036134
5716363.636363636,1256815.340909091,1894577010.107686,Yes,3.394023843739764,iso,9223372036858430444,9223372037011002161
343139204.54545456,31887642.045454543,7228728421.021394,Yes,0.7250582722614863,iso,9223372036527384656,9223372037833907028
6383750.0,1525639.2045454546,120286072238.80128,No,0,iso,9223372036532726092,9223372036541211471
52783948.863636374,8207173.295454547,1988184838.4743712,Yes,3.253780884317339,trip,9223372036720251710,9223372037238493626
2755696.022727273,1225839.4886363638,8118256965.967379,Yes,0.5778454752705273,iso,9223372036951077658,9223372037193405964
40723437.50000001,11831079.545454547,4314479152.259864,Yes,1.5060787519674408,iso,2655278001094608650,9223372036977038528
24537642.045454547,1085002.840909091,108060090227.91743,No,0,iso,9223372036334714703,9223372036945963621
12995127.840909092,1479232.9545454546,44013666081.37699,No,0,iso,9223372036632692570,9223372037115924393
8242571.022727273,1783735.7954545456,7075005037.127945,Yes,0.7533059739913788,iso,9223372036767023017,9223372037070236710
22807954.545454543,5228366.4772727275,6265269903.166337,Yes,0.9192852297822314,iso,9223372036667069544,9223372036927653932
8803139.204545457,2793835.2272727275,17647475447.597233,No,0,iso,9223372036525672222,9223372036682265445
467919034.0909091,5235667.613636363,8919978390.30533,Yes,0.4644912699186326,iso,3657263686245428604,9223372037833907028
8740227.272727273,1018977.2727272729,139756399887.33954,No,0,iso,9223372036471317011,9223372036983369236
3411960.227272727,1398261.3636363638,4103104672.2333517,Yes,1.595460598551513,iso,9223372036817314035,9223372037158428989
37526136.36363637,3976803.9772727275,3071979994.4602222,Yes,2.1681336327468332,iso,9223372036454186084,9223372036813088478
