M1,M2,qin,t_merger,z_merger,t_form,merger_flag,bhid1,bhid2,f-gas,Vescape
20047033.305056784,6950139.010760179,0.34669164783634265,512238941582.7224,0,10578547276.430817,No,9223372037525388545,9223372043356401190,0.30158528059794826,868.173838833139
1899493078.0089788,2511924.9540621117,0.0013224185879608865,69497493154.44154,0,10585554236.50451,No,9223372040169620450,9223372067941434002,0.0018601861781190763,3154.4149178930843
2042405209.352856,6701065.204741538,0.0032809675445671215,2184071692201857.0,0,10585787777.921251,No,9223372038379712419,9223372047247658164,0.0031876821396295157,2822.810070791953
73171323.65534738,30174851.388896864,0.4123862994610687,13945203439.43022,0,10587515936.323092,No,9223372042424138129,9223372057510090801,0.33772486919056005,2032.0770955867397
3612564.2104414064,1914914.637492231,0.5300707547169811,31017588677.728367,0,10589181738.546711,No,9223372038959014745,9223372046076427394,0.5691297521426668,688.9558321486245
5248115.735858112,2408290.938308175,0.458886781374382,15387818544.943563,0,10589633204.092297,No,9223372041012011234,9223372042936163147,0.5522036393966158,734.0407739890109
1221484073.3244846,6105545.922928326,0.0049984654374665765,17293093157.682503,0,10601633838.75866,No,9223372038212480611,9223372048550139007,0.0075501577315528765,2488.226202818976
54091900.90571307,11936343.841361288,0.22066785676782524,13286452413.649708,0.035063837568461015,10612743617.31409,Yes,9223372038664830684,9223372042660913536,0.2532448577431191,1516.7589596695234
33562766.36266695,21033388.29742023,0.626688160032494,265093396403.83948,0,10626338199.91876,No,9223372037088422596,9223372046473640510,0.09185471799643448,999.9104104628567
205492990.13088673,31901043.627187964,0.1552415175177942,11795747823.733568,0.15576225895897816,10629743797.394503,Yes,9223372040652170290,9223372047344689726,0.13805800097017587,1281.785327067564
8891011.85334945,5967887.914060327,0.671227078818041,247427724746.8371,0,10636771655.259901,No,9223372039300905402,9223372051090002668,0.5393820601129624,843.9352298518811
337627070.23370624,10371964.374996204,0.030720180013458952,14789093823.861206,0,10640642593.90931,No,9223372037725575647,9223372067337303437,0.0178570756594303,2756.4788020266724
208519080.67037204,7000592.786859622,0.03357291219754701,14118516450.27783,0,10651786639.426584,No,9223372038700438980,9223372045741079522,0.034338581986315585,2845.2221707560484
30225262.56400325,1396808.4602121215,0.04621327795761315,14824491985.9128,0,10659944251.816925,No,9223372041223342979,9223372047585443067,0.1254871079033623,1726.2917130337612
198290582.23962936,5458266.434562209,0.027526604505936778,12686290996.668753,0.08125366497964652,10660845356.826834,Yes,9223372043693604577,9223372043953515397,0.06690283113723139,1707.248677923827
122304184.96369272,5127554.92553324,0.04192460729823275,15051819056.066,0,10665630145.189281,No,9223372046664926508,9223372059422766941,0.048109324708802866,2405.3119183225767
6792657.3397940025,1979171.1353391155,0.2913692000543541,12212811942.83791,0.11991486153698927,10666872839.962675,Yes,9223372047973895535,9223372053180697846,0.5703372882143911,928.6187440104884
4169302388.2502337,13577192.090246921,0.003256466148511952,25050948997.16648,0,10669031916.78178,No,9223372037749146146,9223372067390855715,0.0018402736637139754,3482.970208236136
4771282820.675674,210278501.68324035,0.044071690902922046,12682588847.24787,0.08154805748620793,10671532550.806782,Yes,9223372044751680872,9223372060034484264,0.003977693127303223,3663.9263711065996
269451281.0264374,1423767.7886457809,0.00528395256916996,37437057851.01539,0,10676533280.386366,No,9223372042025990269,9223372048739763935,0.06217236674350541,2725.8704584424095
8830589.444876855,8485294.19589457,0.9608978255485977,13569172779.277296,0.014304540743684202,10679095487.754683,Yes,9223372041613594041,9223372055357020339,0.34455772555523406,957.873221919834
149055194.5413493,9530026.74906432,0.06393622696873273,19278768176.83397,0,10680865629.93949,No,9223372044567760246,9223372046937294159,0.14600775723957113,1734.9072031249605
38077477.60254759,35697076.11435462,0.9374853157806411,11022384022.532999,0.2272373637066651,10682682261.173773,Yes,9223372040202509262,9223372042494857623,0.17809260064829394,1488.1074262037978
20904591.295106143,2315761.5814086623,0.11077765399559819,11206936220.218853,0.20954547580340874,10683365414.185394,Yes,9223372042443109222,9223372047399592465,0.373693057187385,1155.4605640962186
17052609.5037369,2673709.3253261014,0.15679179921056577,16789805429.600414,0,10690413526.601278,No,9223372042159267605,9223372046529157624,0.4149415884489706,909.9207742560477
7785430.881776628,1792706.588769516,0.2302642738715602,20673790857.218464,0,10692245179.429811,No,9223372044201683979,9223372044925481081,0.480997663494577,700.3913834888608
122045454.93258327,4004961.9574033846,0.03281533064558354,18965826568.076626,0,10692928143.691166,No,9223372040659183949,9223372050231043751,0.13285267277405824,2090.153444022397
17512274.21872113,3167994.447327062,0.18090137281772256,12236427861.850512,0.11793681317179672,10692928143.691166,Yes,9223372049970765403,9223372056343869213,0.45308724065354156,1307.3372232276008
278779478.470773,6033195.236402386,0.02164146109138697,12156201950.25282,0.12467849515017633,10694976955.221104,Yes,9223372045441946512,9223372047886519714,0.0468958140563937,2576.63830279797
13089041.511244822,2163420.430270237,0.16528486279240828,29458076154.235832,0,10695877152.046164,No,9223372038604010847,9223372041144015522,0.2670519302907819,1037.6543428779319
10504808.471649818,2051024.8102794988,0.1952462832439798,39505835249.45391,0,10701339910.705816,No,9223372038906670321,9223372047012970103,0.5045525395542575,969.607112140862
