M1,M2,M3,qin,qout,t_triple_form,z_merger,t_form1,t_form2,a_2nd_ovtks,bin_merger_flag,strong_key,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape
60062826.567257,32195162.006542787,9402237.970252363,0.5360247568517503,0.10191245349698086,6111628196.595696,0,4191735444.519886,5244592755.295042,116.10608286224506,No,False,9223372036520088664,9223372038374023043,9223372037962367808,9223372038374023043,0.3273090847857203,1530.1139302340057
1054448109.1053902,1448744.3090505325,8737307.4704335,0.0013739360870775037,0.008274773660116303,4303842959.215887,0,4195236070.081462,4251405564.2677493,1142.0439716610722,No,False,9223372039355883567,9223372041834236739,9223372039306150643,9223372041834236739,0.1756106574250724,3781.61205039294
608466416.6370988,530067843.0911892,27626601.988096114,0.8711538198291919,0.024265059880314205,9209539086.895544,0,4195559946.4863276,8869174811.626572,360.2835553046785,No,False,9223372036831848534,9223372038228367961,9223372038228367961,9223372052993495826,0.4505164892298481,997.8411989988931
40028590.60342891,7808916.509647318,26510171.963627156,0.19508347388524827,0.5541712677661811,11139752026.456839,0,4198721863.0634527,10343618238.502241,159.45804155274095,No,False,9223372038111989740,9223372038823950655,9223372038823950655,9223372048850382609,0.49959010548641314,1278.3123305001695
94631943.05133888,81727647.96735609,70518133.80833924,0.8636370059845219,0.3998542602702224,4419345092.5634365,0.49481909875368235,4202192815.1177893,4335858058.905243,8.311330425635852,Yes,True,9223372036567030454,9223372037118998295,9223372037118998295,9223372040741472975,0.3577339403893526,1862.00931185318
2409165.7421522792,2038448.9336783048,1445650.4987412614,0.8461223310676887,0.325039510863492,6805215298.629763,0.17151558493132793,4202223670.7018013,6805184714.057396,1221.0416677535206,Yes,False,9223372039381453391,9223372039505553148,9223372039505553148,9223372040365996179,0.7145765212131701,668.3765705853676
16320706.427555574,7714773.84993312,3447570.5643678266,0.47269852467339535,0.14343672456575685,9209708417.322603,0,4203118503.570088,7153500390.698692,0.6524321827297337,No,True,9223372040870107851,9223372040888472059,9223372040364372518,9223372040888472059,0.8459270304856038,700.1379619873276
861211543.1027082,1959837.7972289715,36342623.162336804,0.0022756752541520926,0.04210360070609177,4329337983.234747,0,4205155170.423457,4329337983.234747,2242.4210181034828,No,False,9223372040099389102,9223372040974074677,9223372039106624325,9223372040974074677,0.07847461165665472,3010.005203868087
40600456.261434935,32088482.149302788,13606203.366512375,0.7903478212825554,0.1871839603658656,9240043707.151907,0.2822846254437794,4207562409.6554546,6613807281.431429,0.0140965549820828,Yes,True,9223372039041113258,9223372040419790245,9223372040419790245,9223372042265092525,0.7275709088298532,778.8005112595185
8787551.036213018,1435409.265433495,1501585.6026128363,0.1633457671560884,0.14688363823255682,6726343171.423248,0,4209121097.9571886,6714354803.381716,1295.7999157568145,No,False,9223372037685931935,9223372041580480764,9223372041580480764,9223372050338212317,0.5005785741971003,867.0335366997163
473216669.49435663,3011311.5868036523,5340758.6954057515,0.006363494316506879,0.011214709986760652,6260817679.101279,0,4212701911.789119,4237228980.2841887,741.5955987487204,No,False,9223372039166432416,9223372041737969312,9223372037476104808,9223372041737969312,0.23055440965306076,3763.911584219135
49812840.590093024,2381896.0918976692,17485861.603031583,0.04781690952937525,0.3350119708346937,4378379218.28782,1.1749866774055975,4213365667.4274316,4330253777.304665,1.363648094288426,Yes,True,9223372039088592128,9223372042611318687,9223372039336821724,9223372042611318687,0.18884051055779183,679.5709867962255
6827375.086894793,3025283.1828504596,11903881.884658972,0.44311073353176644,1.2081898670141082,5907292747.531966,0,4217147949.12151,5907292747.531966,1684.8489357756334,No,False,9223372039860151802,9223372040346381855,9223372037332447783,9223372040346381855,0.6981562959931098,900.8618716305896
23537738.01793544,12489637.79584869,2752052.5515407445,0.5306218374225999,0.07638781591435824,4578823807.939059,0,4218969872.6786857,4578823807.939059,828.7905463776991,No,False,9223372037680431539,9223372037718984922,9223372037718984922,9223372046860358256,0.4487892695264405,1141.4498026960005
2575085206.270208,118206375.5268004,376220729.8686813,0.04590386960360519,0.1396880799730049,4301137335.733085,1.3282520581751736,4224405736.6749005,4288740153.3415966,850.2683642919806,Yes,False,9223372045775651280,9223372045989287585,9223372037863871925,9223372045989287585,0.10343725503156302,3662.2173126648554
57378518.07868621,2663605.5293034245,3203253.8692395072,0.04642165079360678,0.05335010950234378,5070278193.812302,0,4235482695.8363466,5056033837.501735,2131.5148770555925,No,False,9223372040614180330,9223372042189406581,941983017417543769,9223372042189406581,0.5211805446989928,1131.4831679834672
26384570.52731842,7184443.980995517,6637887.932051862,0.27229717359078437,0.19773854041523548,4634316087.30103,0,4237213525.794255,4631204864.364633,1086.4782785702928,No,False,9223372037844001538,9223372038677833966,9223372038380685012,9223372038677833966,0.49031582713410327,1666.3824896963356
581485507.3214648,6534579.682258274,2369680.238275981,0.01123773438887401,0.004029930763676407,4305577320.593779,0.03104152360462168,4237228980.2841887,4305432181.770971,1704.5939614791282,Yes,False,9223372037476104808,9223372041737969312,9223372039732807149,9223372041737969312,0.23055440965306076,3758.5393440012203
23538221.869575705,1643793.1341356304,13369938.259070063,0.06983505989720969,0.5309320265713287,4952286976.026927,0,4239964606.168036,4445871783.891854,221.72735098196432,No,False,9223372038417948660,9223372039666960902,9223372038041110854,9223372039666960902,0.43309372635623766,709.8169358625225
121822123.15541036,10801442.35752675,7570068.6615897,0.08866568795346952,0.05707936317585473,4427514361.8007,0.6363853963484419,4240691075.748398,4427514361.8007,1932.6447675362162,Yes,False,9223372040267226114,9223372042537946930,9223372040751153583,9223372042537946930,0.24828370142205172,2155.134529882357
111839243.95878947,2076095.4572685864,19956009.183244955,0.01856321076377793,0.17518280931735397,8759849563.020935,0,4244663920.381722,8726951654.586239,1638.6316869442549,No,False,9223372038842814838,9223372042152451089,9223372037701410952,9223372042152451089,0.23697446092857533,1778.7050357314513
21055157.459820196,2572773.3175125746,170367051.32999104,0.12219207205751029,7.210409279403809,5051334268.8374815,0,4246240900.40626,5043015578.494354,1268.442480631531,No,False,9223372038712221314,9223372039081909060,9223372037243750329,9223372039081909060,0.5482013431505234,1018.812479320531
39538980.80063157,3724457.688917607,4658688.396050714,0.09419710911865779,0.10768188009781235,7969545656.034773,0,4250276652.5114155,5790722365.589183,7.383890783488836,No,True,2892810492711589030,9223372041236817311,2891971940099840895,9223372041236817311,0.040587601725211364,965.4795723114053
3217774.016672107,2526714.289846299,1031422.5829085612,0.7852367123218563,0.17954994907695812,4852772010.657085,1.2123836463106072,4250508615.7591977,4796814369.986964,643.6288527076312,Yes,False,9223372040605428166,9223372040718647816,9223372040718647816,9223372041739296939,0.5836520816591906,677.0706985505418
1822301616.6422346,1716702.0173103642,1222672.6410305144,0.000942051525187994,0.0006703181807565648,4503127389.999866,0,4252302550.800851,4501484649.139624,1355.8626348983419,No,False,9223372041220613198,9223372042812491904,9223372040380598615,9223372042812491904,0.0009507022152770464,4100.112995580769
275726741.21112835,15317563.158065364,6514728.461151082,0.05555341890591766,0.022383975097094014,5506683855.0213785,1.0222256187150855,4252781990.2149973,4906137873.375071,0.06444317180779677,Yes,True,9223372039836200971,9223372041092249350,9223372040286615161,9223372041092249350,0.34536090402877156,2213.430912036549
256812202.877877,3546606.1990886386,72126037.28926802,0.013810115560494496,0.2770255308240659,5516867737.504418,0,4255921812.7570157,5498251073.759275,692.4637092096109,No,False,9223372038795582499,9223372042224091456,9223372039542296234,9223372042224091456,0.4356756024655531,2079.287010062546
7813555.430648392,1017034.0142284625,8485294.19589457,0.13016276946589295,0.9608978255485977,10679095487.754683,0,4256463208.3241076,10679095487.754683,1910.8974302054116,No,False,9223372038686231630,9223372041613594041,9223372041613594041,9223372055357020339,0.7805015130436957,768.1490694404605
51472363.73147106,2259416.7796791354,11061759.654423883,0.04389572609228533,0.20586996278912426,5610349186.722134,0.26009594515864726,4257917310.1828184,5544014744.305377,759.6778821462448,Yes,False,9223372041181332234,9223372041218354649,9223372040136046942,9223372041218354649,0.58598354136802,1409.2054944946833
32486709.673884682,10747334.1304616,21292686.34177031,0.3308224882836052,0.49249814424321264,13429816442.598873,0,4259046627.8191476,11708750440.734262,117.18811329132137,No,False,9223372038473246527,9223372038638043496,9223372036819838493,9223372038638043496,0.4904871860942227,858.9804115218556
391810208.87238437,24242449.495857224,59112143.92975925,0.061872939874706476,0.14207851516103048,4824519035.012567,0.28456346978840336,4259727341.230617,4800437505.435237,1370.3738734273302,Yes,False,9223372037368679764,9223372040833480002,9223372040833480002,9223372041474357340,0.46978552904864535,1319.9675215994891
40489408.26828318,3243351.1613410297,45949857.11113449,0.08010369378210114,1.0506964964119883,7504690608.575044,0,4261305441.896931,7108431362.074007,494.18225147608854,No,False,9223372039428552704,9223372039705330953,9223372039705330953,9223372039827827469,0.44692598463654853,1094.3040840551039
7964197.608986655,7216524.260236148,490911123.3515864,0.9061206934510456,32.337798398563194,13392274014.686817,0,4261305441.896931,13360947502.682074,42.85774341315821,No,True,9223372038329718080,9223372038420420736,9223372038420420736,9223372057212984149,0.34752957830910836,805.644780120496
12282964.843422094,2553541.0019756313,9038936.701541934,0.20789288535195402,0.6092362174578866,4790037975.488109,0,4264461991.202148,4788810375.395487,1064.5304796315136,No,False,9223372038136064840,9223372039166745012,9223372039166745012,9223372048172267002,0.6435841204860396,620.9770364891565
123325816.6408669,24273843.971354064,3883620.1288726386,0.1968269469647311,0.026311849991822286,4844664333.987433,0.7461899447521735,4264910753.9782906,4844569770.834367,128.5767828642985,Yes,False,9223372037769885544,9223372043548588423,9223372043066762612,9223372043548588423,0.4436637872495994,1274.6703351615686
79230801.82237983,1985577.3667076193,25746336.158282645,0.025060674902153593,0.3170091601638654,4511189370.837172,0,4269646574.791259,4474239537.392178,666.1108376717973,No,False,9223372041364927632,9223372042194946975,9223372038841771813,9223372042194946975,0.5487723360204974,1745.5475978093275
288022097.58024,3749263.7369671445,4095858.2762360717,0.013017278078542699,0.014037903712500244,8392611442.239168,0,4273593927.2146983,6770279702.112477,1048.9706268350412,No,False,9223372041508651627,9223372041927771746,9223372039074676552,9223372041927771746,0.4841743238859419,1856.6547858122262
75698658.69458304,13828606.224861858,493744089.3892557,0.1826796731056402,5.515013664647503,5193598725.896566,0.6145472001473247,4289359864.2351017,5009122254.628504,132.51059731499632,Yes,False,9223372037525646692,9223372038396847312,9223372038396847312,9223372045765509663,0.3938195757909921,1210.8156357769371
17318761.060463298,1542828.6113873243,1193432.7394357033,0.08908423679967623,0.06327317899491812,12967327724.552298,0,4292024828.378809,12929853214.11491,854.9785828633826,No,False,9223372038564512372,9223372040178633268,9223372040178633268,9223372043861036090,0.37531254585027013,891.5306153420194
5814574.967700166,1281032.2339867507,6575619.480547201,0.22031399390374296,0.9267169522833657,6708902811.376927,0,4296565335.75711,5646626309.835261,797.2095522270855,No,False,9223372040689818806,9223372040752633244,9223372038615912998,9223372040752633244,0.7987903870084714,764.8594302675627
8627549.13136674,7701269.500490446,2258619.449400737,0.8926369914824747,0.1383210567967371,5215443378.917492,0.18120358486553861,4302750039.341509,5177366629.773814,584.3025498821544,Yes,False,9223372040310009940,9223372040810648824,9223372038319570170,9223372040810648824,0.6600851164064423,1027.3955273120112
12116387.119069627,5123808.757387125,1663625.579835112,0.4228825562467307,0.09649690709761381,4496737108.862171,0,4310409756.424256,4496636689.880676,7.716920174286219,No,True,9223372038156343816,9223372039490018889,9223372039490018889,9223372040346089304,0.7548757825003425,951.4963729623329
14998285.202092752,11639831.743987536,1501471.9999647094,0.7760775040044844,0.05636554577051837,4803409032.406839,0,4314861077.397405,4803380666.730516,413.91276823659916,No,False,9223372038159585025,9223372038501318453,9223372038475190516,9223372038501318453,0.6691763217364253,1049.9145926570357
83279456.86089939,8595122.775471466,22718257.57245511,0.1032081992300669,0.24727468318626752,5410232188.32135,0.7220677974218576,4318615160.662973,5360881023.675261,348.2038126799267,Yes,False,9223372038025702369,9223372040816063661,9223372038243308852,9223372040816063661,0.47532321234462743,1552.5948433547164
132656919.7476206,2868341.4051026576,2702450.795302254,0.02162225242798995,0.019940568808473762,4618302031.520334,0.2433975101186572,4324775106.06352,4609657950.343821,1348.6236967299399,Yes,False,9223372038370538583,9223372040211138496,9223372040211138496,9223372043682180339,0.1407474312924997,1837.5106440953252
210934625.00527483,1931176.98905993,76146435.00648567,0.009155334213202963,0.357720377313178,5240271813.127321,0,4329244853.862202,5130444709.165143,812.3138196228984,No,False,9223372040608042858,9223372043346397346,9223372039315213868,9223372043346397346,0.3844461600612344,2070.0031858801153
878143865.204809,37000727.21327095,190179353.16335526,0.04213515424906065,0.2078134479938801,4728951944.839218,1.0282398110704456,4329337983.234747,4488491217.098703,0.8486877022317253,Yes,True,9223372039106624325,9223372040974074677,9223372038797493586,9223372040974074677,0.060659542144048874,2730.8395042396264
18484937.90662141,9893429.605455704,11325772.208671238,0.5352157337738105,0.3990987925521535,7543911137.177143,0,4331619781.261788,7509250445.995858,1077.691906308079,No,False,9223372037822514258,9223372039065533030,9223372039065533030,9223372040741195475,0.677973468243281,1185.2987588928636
40235645.31285887,3966577.0601505255,33621271.726452395,0.098583657085844,0.7606240121307135,5254128241.759388,0,4334367579.034668,5197005266.772697,581.8591203299744,No,False,9223372037859681204,9223372040451500890,9223372037554235321,9223372040451500890,0.4863444328345953,1137.2236019389532
176731588.0239635,70765981.25191413,11451629.742465036,0.4004150137683297,0.046269665500028694,4974155993.75988,1.2341521671636562,4335858058.905243,4340050592.85744,0.053860998917253204,Yes,True,9223372037118998295,9223372040741472975,9223372038230253037,9223372040741472975,0.33809179707777753,2130.8679723115283
11936795.207108473,6642633.887456489,5744729.712145678,0.5564838612210368,0.3091983980189242,7377049553.808323,0.49171528099648926,4339864240.53344,5274044923.881414,0.039985643688776516,Yes,True,9223372037628900419,9223372037921626897,9223372037921626897,9223372038485350027,0.5468646165719201,380.5706043672104
22422175.72974196,2132610.652997686,2122708.0812476915,0.09511167331406106,0.08644783335357427,10027026621.149595,0,4343979898.2654505,4798064218.335177,130.63631961717533,No,False,9223372038541864746,9223372038940028304,9223372038940028304,9223372039424445733,0.3536393536579764,1556.176310529058
353796514.268192,30470123.154090405,77205353.69034028,0.08612329948223522,0.20091609880120026,13048349873.487059,0,4344088624.447239,12816626525.395727,1.659033449890983,No,True,9223372039159037711,9223372041900041634,9223372041900041634,9223372053630967160,0.3983131875958708,1290.619269647956
48402111.396931306,3531765.2042975556,8894760.740737643,0.07296717234780525,0.1712708798735655,4877487146.934337,0,4349479023.68619,4877487146.934337,1425.8205816775853,No,False,9223372038557151450,9223372040962910891,9223372039213358529,9223372040962910891,0.3095241272140484,1422.5203127096063
26587015.604431786,3082730.010230013,6832915.278224041,0.11594870428842541,0.23029908537023122,8455042726.422905,0,4356362661.895774,6541143689.2271385,444.52156614719956,No,False,9223372038125902191,9223372038322488979,9223372038322488979,9223372040574446536,0.4876774292140101,1110.2569060068893
62641098.00036807,4502753.151976313,1780522.704757886,0.07188177244194946,0.02651803067890778,8041447462.078826,0,4359129159.022974,8041440462.078826,1116.616194341979,No,False,9223372040625476653,9223372040787012612,9223372037551950881,9223372040787012612,0.4319628265590988,1241.1980492970563
41159160.68142494,3470775.6617829483,33866653.44640691,0.08432571520704754,0.7588326630351778,6034631930.900997,0,4361429657.828806,6029888039.623901,951.0635975310971,No,False,9223372037198014105,9223372040951817673,9223372037717183272,9223372040951817673,0.24578613976021327,811.5219557516161
21462441.304133393,4688888.294722326,16431913.03503252,0.21846947550273818,0.6283394874022588,5334373364.291993,0,4361429657.828806,5262710765.388932,403.96019148592353,No,False,9223372038143951135,9223372039216735923,9223372038157942271,9223372039216735923,0.46709240073242453,1019.0210965425058
23252925.737638146,1703588.0095409155,5152291.902162912,0.0732633832302409,0.20645078693113927,6862778838.138048,0,4361647285.019638,5070461993.728994,1028.5725111350334,No,False,9223372041052440809,9223372042854937132,9223372038659021782,9223372042854937132,0.5768802015258588,1382.699633104789
375043257.352461,369046987.7144591,10883417.69719537,0.9840117919188008,0.01462647544346797,9443388936.976946,0,4362346815.530787,9433185987.523888,1038.7104079489707,No,False,9223372040588949246,9223372041947610733,9223372041947610733,9223372052727585391,0.7290711102073014,779.9359668343549
841461366.723748,10000421.220489517,109123153.708127,0.011884587475984098,0.12815977798791545,5838519879.655616,0.6239713603610392,4362455633.380685,5834998110.149278,222.6367745661081,Yes,False,9223372039962875986,9223372042654376806,9223372042654376806,9223372047444714259,0.03260611321277322,3348.0894834812184
35471186.50028717,14096062.933834134,10612702.58670852,0.39739473991714414,0.21410715155404417,6917875375.1214905,0,4362688816.293251,6887835673.674567,2.602828250924887,No,True,9223372038934007428,9223372040111962748,9223372037701455256,9223372040111962748,0.46830267234991363,1254.3091888469155
293615717.6780727,2696909.498014787,355241160.82581127,0.009185167331442874,1.1988728398493285,6105825882.06598,0,4363948046.538354,6105825882.06598,1061.1001764958985,No,False,9223372040481910275,9223372041720387062,9223372041720387062,9223372047373311165,0.21051672820928255,2140.318336094178
119833917.45854478,1711827.825589473,5013341.663172468,0.014285002626085898,0.04124654179751757,5011129977.875534,0,4366078018.7546,5011129977.875534,1804.0633902250338,No,False,9223372039948640861,9223372044054800974,9223372038259265808,9223372044054800974,0.3121785510082164,2003.037904250778
10863954.927692186,3357960.5913379914,15955207.922829226,0.3090919111582984,1.121874750379423,4615471132.069257,0.44025786766832953,4372018143.140962,4615471132.069257,1253.2490207609528,Yes,False,9223372037893258096,9223372039618495341,9223372038174464748,9223372039618495341,0.547834979570076,705.8588179515137
170261835.0395045,2583174.052758671,38076199.572756164,0.015171773827994497,0.22029099811861746,4642830625.099743,0.26092468738790736,4376855377.842211,4619101126.492613,1003.4428851412853,Yes,False,9223372038159803166,9223372039811130248,9223372037401203716,9223372039811130248,0.25845710643111275,2301.8762794464465
24320590.656140383,1441507.8695698946,4894939.30316201,0.05927108802375848,0.19000545698080137,4485537028.714301,0,4377539829.438691,4485537028.714301,1920.4166462368128,No,False,9223372036987686784,9223372039431579494,9223372039311663308,9223372039431579494,0.4928215046498995,1239.4077964354553
656124923.9437459,1049355.074240516,11246548.561933609,0.0015993220741153927,0.01711349473192909,6012593434.335354,0,4378473205.978081,4431365560.100164,1260.876456421043,No,False,9223372037575934783,9223372039220802811,6883118697157111170,9223372039220802811,0.06969844725970048,2539.6015107297285
250333168.94972295,78297991.58541949,10000668.319923833,0.31277513848412514,0.030431284433401755,4668130202.440653,1.1862904495860376,4381709209.505019,4398394375.126658,0.30266401606464166,Yes,True,9223372038711215777,9223372041730818798,9223372038957071015,9223372041730818798,0.1680667555364864,3248.6022973385093
47657336.05858633,2116812.19843643,13327110.06072615,0.04441734208211263,0.26775164472745744,4686620175.311249,0,4382393807.894418,4581946310.287749,1160.1308410072402,No,False,9223372042639041042,9223372043073284830,9223372038202020578,9223372043073284830,0.386197150036312,1478.0974157510623
218617528.23155153,3407487.2680297066,84915707.42203592,0.015586523622299047,0.3824600900532133,6811144960.068137,0.0035396315048390904,4383374064.214979,6811144960.068137,1272.9000308815964,Yes,False,9223372039055857881,9223372039148778647,9223372039148778647,9223372039447956439,0.20874600580016991,2224.000854287048
437867061.2571966,11796360.592545632,16603595.037014581,0.026940506917044908,0.03692449558986537,5909884795.782354,0.4395073740078119,4386346210.239852,5014667708.395832,415.2543709771139,Yes,False,9223372039046668704,9223372040468850164,9223372040137154971,9223372040468850164,0.1663007191405178,3003.306084996233
10246575.077336317,8968176.826879388,5430675.191398342,0.875236531152294,0.28263051318434435,7799671672.02966,0,4390937456.475938,7799671672.02966,1617.4483110911015,No,False,9223372041026019272,9223372044761067628,9223372044007450185,9223372044761067628,0.7403629624394152,685.7288605137328
170617099.92178208,2888224.562719844,1294435.433852396,0.0169281072298376,0.0074604940090355525,4541872020.958075,0,4394066254.832786,4530671105.242061,1304.2183515994104,No,False,9223372041877422989,9223372047912691916,9223372042955086349,9223372047912691916,0.277522720114697,2069.849072167838
62497688.634098954,17522738.676830575,134676507.36790374,0.28037418758667676,1.6830265957541202,4598624413.245218,1.0222970980187054,4394766791.684667,4597957162.48093,291.03240934471506,Yes,False,9223372038547705030,9223372040207512554,9223372040050993952,9223372040207512554,0.32537325977195075,1762.695240815151
22473748.482495334,21522285.084163405,4255952.80810917,0.9576633422291337,0.09673492047097705,6109112513.578747,0,4397429036.69009,6099575005.02609,1153.6992645151067,No,False,9223372039324942547,9223372040576320988,9223372039827560644,9223372040576320988,0.6845505336796547,697.0046112531631
