M1,M2,M3,qin,qout,t_triple_form,z_form,t_form1,t_form2,a_2nd_ovtks,bin_merger_flag,bhid1,bhid2,bhid3,bhid4,f-gas,Vescape
6991760.960875776,2689598.7158248443,2162256.003126934,0.3846811598501717,0.2233421828475879,3443054142.6451,1.9300756361192664,2761456669.971365,3433448955.6174707,0.09854350750470837,No,5347666635813106863,9223372039336381821,9223372039336381821,9223372039737164563,0.7845714661123491,746.5320290082061
105316354.92411011,2037721.5460578084,1400787.3929627726,0.019348576463040043,0.01304829251967931,3708424680.600981,1.7839736110394835,2768637038.8706627,3195573105.629547,0.17259734328211243,Yes,9223372037719930779,9223372038818151067,9223372038818151067,9223372039065031956,0.43837454805383597,1561.8193323589392
15007023.25550592,6270610.735387549,499218316.9958798,0.4178450735116258,23.462116004511515,3429329107.0827312,1.9381288206226905,2803191239.8038993,3178875954.249194,0.3864493994970285,Yes,9223372037441657465,9223372037655350698,9223372037655350698,9223372037755283977,0.5973747720278584,273.3475202795078
275534199.53432196,100686530.33435935,2693291581.797008,0.3654229874350582,7.15880696615812,4407501494.181461,1.4689382619898386,2811114344.5785146,4288740153.3415966,1.375146907491676,No,9223372036507160942,9223372037863871925,9223372037863871925,9223372045989287585,0.5215486207217661,738.4721157282199
9297483.814783834,8171053.384408366,8239216.659720281,0.878845669127776,0.47166036662195665,4130998647.632048,1.5832450078423737,2813099571.4471145,4111958122.2246757,0.3257015506156032,No,9223372038427550946,9223372038747508411,9223372038528929291,9223372038747508411,0.6642831158203086,844.1031626765185
59164078.49004124,2335141.0834884522,16871271.276664034,0.039468899762911264,0.2743330955036333,5711060947.617966,1.0534108827945141,2824738977.1319046,5657009722.160227,8.40707734466037,No,9223372038065738916,9223372039039488333,9223372038062994930,9223372039039488333,0.33326157461844674,1465.1877198586865
6847430.216484772,5094622.157944903,14307827.521676287,0.7440195806128713,1.198104569723058,2962894761.8020306,2.2472612581944067,2827580872.8687906,2862953203.7892065,6.493402787713679,No,9223372037371220128,9223372039239664109,9223372038562146958,9223372039239664109,0.7182902355346507,1120.6720474002407
150125480.17388353,133739136.83367822,91048972.39110726,0.8908490196252777,0.3207478739369685,3082097040.3948226,2.1610274692889098,2828210957.4707823,2964236428.570344,5.049057551087758,Yes,9223372037145382883,9223372037571710541,9223372037571710541,9223372039376810556,0.491359938340543,1833.9190028460607
7623784.348486637,4478248.955168011,7224105.997049668,0.5874049881876535,0.5969332438432546,3105939878.930253,2.144430033353207,2831179880.8721414,3104573928.9572396,2.0788832779891044,No,9223372036849654782,9223372038369081279,9223372038369081279,9223372039194806071,0.8254525074446176,585.4230430421438
36703869.76415673,29645188.861228526,57923150.21379912,0.8076856487262992,0.8730063608112388,6377896238.540396,0.8942658152292823,2835186495.3640833,6083860238.385761,4.0034199311216465,No,9223372037241052527,9223372040548379772,9223372038657264181,9223372040548379772,0.445452269236033,993.6300340190525
